id,tags,weight,name,description,char,color,hp,fatigue,speed,awareness,reflex,strength,armor_head,armor_body,armor_hands,weapon,default_weapon,ai,faction,s
player,player,,You,An adventurer of subjective gender,64,green,150,100,1,50,30,3,playerstart:1,playerstart:1,playerstart:1,playerstart:1,fist,player,Test Subjects,
weakguard,"early,start,guard",1,Low-Level Henchman,"A dedicated servant of Dr. Hallervorden, but weak and with few skills",103,green,30,70,1,20,10,1,,weakguard:1,weakguard:1,"weakguard:1,weaklaser:10",fist,wander_chase,Evil Lair Staff,
okguard,"mid,guard",1,Mid-Grade Henchman,A cut above your average henchman,103,yellow,50,80,1,30,20,2,okguard:1,okguard:1,okguard:1,okguard:1,fist,wander_chase,Evil Lair Staff,
beefyguard,"late,guard",1,Elite Henchman,"An athletic, combat-trained henchman thirsty for blood",103,red,100,100,1,40,15,3,"beefyguard:2,okguard:1","beefyguard:2,okguard:1",beefyguard:1,beefyguard:1,fist,wander_chase,Evil Lair Staff,
doctor,"medical,doctor",1,Evil Doctor,"A ""researcher"" in Dr. Hallervorden's lab",100,salmon,20,80,1,30,20,2,medical:1,medical:1,medical:1,medical:1,fist,wander_chase,Evil Lair Staff,
nurse,"medical,doctor",1,Evil Nurse,"An assistant to the ""researchers"" in Dr. Hallervorden's lab",110,salmon,20,80,1,30,20,2,medical:1,medical:1,medical:1,medical:1,fist,wander_chase,Evil Lair Staff,
technician,"mid,late,technician",1,Technician,A hunchbacked servant of Dr. Hallervorden who fixes the lab,116,green,30,80,1,40,20,2,technician:1,technician:1,technician:1,technician:1,fist,wander_chase,Evil Lair Staff,
crazy,"start,early,insane_test_subject,medical",1,Insane Test Subject,"A test subject just like you, but no longer able to tell friend from foe",115,green,20,50,1,80,10,1,Playerstart:1,playerstart:1,playerstart:1,"crazy:1,none:1",fist,wander_chase,Insane Test Subjects,
laserraptor,dinosaurs,1,Velociraptor,A raptor cloned from DNA trapped in amber. With a laser attached to its head.,118,orange,30,80,1,50,70,3,,,,Laser:1,talon,wander_chase,Dinosaurs,
pig,"medical,pig,animal",1,Pig,A pig used for illegal medical testing. It isn't happy.,112,pink,100,80,1,15,15,3,,,,,teeth,wander_chase,Animals,
rabbit,"medical,rabbit,animal",1,Rabbit,A rabbit that has been implanted with assorted experimental chemicals,114,white,20,80,1,50,30,1,,,,,teeth,wander_chase,Animals,
beagle,"medical,beagle,animal",1,Beagle,A beagle with a surgically enhanced heart. It is relentless.,98,white,30,100,1,15,15,2,,,,,teeth,wander_chase,Animals,
monkey,"medical,monkey,animal",1,Monkey,"A monkey that has been used for testing experimental cosmetics. The monkey's face has a nice blush to it, but it's not pretty when it's angry.",109,white,20,60,1,15,50,1,,,,monkey:1,teeth,wander_chase,Animals,
mechapiranha,"electric,mid,late,aqua,mechapiranha",1,Mechapiranha,A sentient piranha swimming in a fish bowl mounted on top of a mech suit,229,teal,40,100,1,30,30,3,mechapiranha:1,mechapiranha:1,mechapiranha:1,mechapiranha:1,talon,wander_chase,Evil Lair Staff,
the_doctor,"the_doctor,end",1,Dr. Hallervorden,"The mad doctor himself, dressed in a bloodstained lab coat. His wild, staring eyes track your every move.",72,lightblue,100,100,1,100,20,3,the_doctor:1,the_doctor:1,the_doctor:1,the_doctor:1,fist,wander_chase,Evil Lair Staff,
